Número do Termo;Nome da Organização;Nome do Projeto;Tipo de Termo;Portaria que Rege;CNPJ da OSC;Data de Início;Data de Encerramento;Vigência em Meses;Total do Projeto;Valor Repassado;Conta Específica Prevista;É transição?;Processo SEI de Celebração;Processo SEI de Prestação de Contas;Endereço do Projeto;SEI do Plano de Trabalho;SEI do Orçamento Anual;Tem contrapartida?
TFM/073/2024/SMDHC/DEDH;Associação Coletivo Cultural;Seminário sobre Acesso à Educação e Direitos Humanos;Fomento;;1,79271E+13;29/05/2024;28/11/2024;6;300000;300000;;;6,0742E+15;6,0742E+15;;;;
TFM/007/2024/SMDHC/FUMCAD;Instituto Pedro Macambira;Centro de Memória Therezinha Helena dos Direitos da Criança e Adolescente;Fomento;;1,89294E+13;01/06/2024;31/05/2026;24;839915;744085;;;6,0742E+15;6,0742E+15;;;;
TFM/053/2024/SMDHC/FUMCAD;Instituto Jatobás;Jovens Criativos;Fomento;;7,36292E+12;01/06/2024;31/05/2025;12;423184,5;423184,5;;;6,0742E+15;6,0742E+15;;;;
TFM/070/2024/SMDHC/CPJ;Associação dos Artistas e Produtores do Centro de São Paulo;Refúgio 2024;Fomento;;3,28777E+13;10/06/2024;09/12/2024;6;300000;300000;;;6,0742E+15;6,0742E+15;;;;
TFM/065/2024/SMDHC/FUMCAD;Associação Beneficente Vivenda da Criança;Socializar;Fomento;;6,15771E+13;01/07/2024;30/06/2025;12;125200,8;125200,8;;;6,0742E+15;6,0742E+15;;;;
TFM/055/2024/SMDHC/FUMCAD;Associação Beneficente Vivenda da Criança;Crescer & Prosperar ;Fomento;;6,15771E+13;01/07/2024;30/06/2025;12;360545,73;360545,73;;;6,0742E+15;6,0742E+15;;;;
TFM/084/2024/SMDHC/FMID;INOVHA: Instituto Nacional de Valorização Humana, Ambiental e Assistencial;Cuidando e capacitando;Fomento;;8,27966E+12;01/07/2024;30/06/2026;24;376322,6;289364,6;;;6,0742E+15;6,0742E+15;;;;
TFM/064/2024/SMDHC/FUMCAD;Associação Cultural Recreativa Esportiva Bloco do Beco;Favela da Erundina uma Comunidade Leitora;Fomento;;6,04242E+12;01/08/2024;31/07/2026;24;466494,28;329815,45;;;6,0742E+15;6,0742E+15;;;;
TFM/063/2024/SMDHC/FUMCAD;GOYN - United Way Brasil;Competências para a Vida;Fomento;;4,73585E+12;01/07/2024;30/06/2025;12;482732,8;482732,8;;;6,0742E+15;6,0742E+15;;;;
TFM/051/2024/SMDHC/FUMCAD;IOS: Instituto da Oportunidade Social;Inclusão Produtiva de Jovens da Zona Norte no Mundo do Trabalho;Fomento;;2,44928E+12;01/07/2024;30/06/2025;12;477349,62;477349,62;;;6,0742E+15;6,0742E+15;;;;
TFM/083/2024/SMDHC/FUMCAD;Cooperativa da CT: Acolhimento, Formação e Garantia de Direitos / Cooperativa de Trabalho de Artistas;Muvuca no Teatro: LedAzeda na Cidade Tiradentes !;Fomento;;2,22471E+13;01/07/2024;30/06/2026;24;725800;561800;;;6,0742E+15;6,0742E+15;;;;
TFM/085/2024/SMDHC/DEDH;FIO - Assessoria Técnica Popular;"Assessoria técnica, jurídica e social para continuidade de melhorias habitacionais
e mobilização comunitária para moradores de ocupação no centro de São Paulo";Fomento;;5,1999E+13;13/06/2024;12/02/2025;8;185000;185000;;;6,0742E+15;6,0742E+15;;;;
TFM/072/2024/SMDHC/DEDH;Núcleo de Preservação da Memória Política;Promoção da Memória Democrática – Visitas Mediadas ao Antigo Prédio do DOI-Codi de São Paulo;Fomento;;1,10086E+13;07/06/2024;06/06/2025;12;80000;80000;;;6,0742E+15;6,0742E+15;;;;
TFM/074/2024/SMDHC/CPIPTD;ASDP: Associação Servos da Divina Providência;Integração Local com Refugiados e Imigrantes;Fomento;;2,52485E+13;10/06/2024;06/06/2025;12;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/076/2024/SMDHC/CPPI;Associação Esfuco;Projeto Idosos em Ação;Fomento;;4,19188E+12;10/06/2024;09/11/2024;5;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/078/2024/SMDHC/CPM;Associação Cultural Comunitária Asa Dourada;Reciclart Novas Turmas;Fomento;;8,68013E+12;19/06/2024;18/12/2024;6;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/080/2024/SMDHC/CPJ;Instituto Cultural e Esportivo Hand Maria;Formação técnica para jovens e adultos;Fomento;;3,47312E+13;07/06/2024;06/12/2024;6;500000;500000;;;6,0742E+15;6,0742E+15;;;;
TFM/081/2024/SMDHC/CPJ;Associação Grito dos Excluídos Continental;Projeto de oficinas audiovisual para produção de podcast;Fomento;;5,6612E+12;07/06/2024;06/01/2025;7;60000;60000;;;6,0742E+15;6,0742E+15;;;;
TFM/082/2024/SMDHC/CPPI;Associação de Amparo ao Idoso;Corpo em Movimento;Fomento;;4,58988E+12;17/06/2024;16/04/2025;10;158172,8;158172,8;;;6,0742E+15;6,0742E+15;;;;
TFM/094/2024/SMDHC/FMID;Fundação Julita;"Terceiro Sinal: Promovendo o protagonismo 
da pessoa idosa em produções 
artísticas e culturais.";Fomento;;6,28058E+13;01/07/2024;30/06/2026;24;300000;228832,68;;;6,0742E+15;6,0742E+15;;;;
TFM/093/2024/SMDHC/FUMCAD;CIP: Congregação Israelita Paulista;Comunidade Infantil: Primeira Infância;Fomento;;6,07661E+13;01/07/2024;30/06/2025;12;580057,36;580057,36;;;6,0742E+15;6,0742E+15;;;;
TFM/066/2024/SMDHC/FUMCAD;UNIBES: União Brasileiro-Israelita do Bem-Estar Social;Futuro em Foco;Fomento;;6,09787E+13;01/07/2024;30/06/2026;24;942202,96;703956,62;;;6,0742E+15;6,0742E+15;;;;
TFM/095/2024/SMDHC/FUMCAD;Fundação Oftalmológica Dr. Rubem Cunha;"Miopia e Outras Doenças Oculares em Crianças 
e Adolescentes";Fomento;;7,07819E+12;01/08/2024;31/07/2026;24;777900;521514,15;;;6,0742E+15;6,0742E+15;;;;
TFM/071/2024/SMDHC/CPM;Instituto Rainha da Paz Sitio Conceição; Transformando Realidade;Fomento;;2,13607E+13;01/07/2024;31/07/2024;1;150000;150000;;;6,0742E+15;6,0742E+15;;;;
TFM/087/2024/SMDHC/DEDH;Instituto Baccarelli - Sociedade de Concertos São Paulo;Voluntariado Baccarelli, no exercício dos Direitos e Cidadania;Fomento;;5,54461E+13;05/07/2024;04/01/2025;6;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/088/2024/SMDHC/CPJ;CT VIDAS: Centro de Treinamento das Vidas;Ser + (Ser Mais);Fomento;;7,31874E+12;01/07/2024;31/05/2025;11;70000;70000;;;6,0742E+15;6,0742E+15;;;;
TFM/089/2024/SMDHC/CPJ;Instituto Dom Diego;Empreendedorismo Criativo;Fomento;;4,11734E+13;01/07/2024;31/01/2025;7;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/090/2024/SMDHC/CPM;Liga das Senhoras Católicas de São Paulo / Liga Solidária;Força Feminina na Voz e no Batuque;Fomento;;6,0597E+13;01/07/2024;30/06/2025;12;150000;150000;;;6,0742E+15;6,0742E+15;;;;
TFM/091/2024/SMDHC/CPM;Instituto Céu Estrela Guia;Curso Culinária Empreendedora para Mulheres da terceira de Baixa Renda;Fomento;;2,34915E+13;03/07/2024;02/12/2024;5;150000;150000;;;6,0742E+15;6,0742E+15;;;;
TFM/098/2024/SMDHC/CPPI;Associação dos Trabalhadores Aposentados Pensionistas Anistiados e Anistiandos Químicos Farmaceuticos e Plásticos de São Paulo, Embu e etc;Projeto Ação Melhor Idade;Fomento;;3,09964E+11;11/07/2024;10/12/2024;5;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TCL/192/2021/SMADS/CPM;NCCV: Núcleo Cristão Cidadania e Vida;Centro de Defesa e Convivência da Mulher – CDCM Casa Mariás;Colaboração;;4,37305E+12;10/07/2024;12/07/2026;24;1169411,55;865580,81;;;6,0742E+15;6,0742E+15;;;;
